,intendedcollegemajor,testtakers,total,ebrw,math,year
0,"Agriculture, AgricultureOperations, and Related Sciences",24913,977,496,481,2019
1,Architecture and Related Services,28988,1047,520,527,2019
2,"Area, Ethnic, Cultural, and Gender Studies",2629,1040,536,504,2019
3,Biological and Biomedical Sciences,155834,1139,572,566,2019
4,"Business, Management, Marketing, and Related Support Services",221523,1072,534,537,2019
5,"Communication, Journalism, and Related Programs",36332,1069,550,519,2019
6,Computer and Information Sciences and Support Services,79736,1156,571,585,2019
7,"Construction Trades, General",2500,919,459,460,2019
8,Education,71882,1022,519,503,2019
9,Engineering,194127,1139,559,581,2019
10,Engineering Technologies/Technicians,33595,1041,512,528,2019
11,English Language and Literature/Letters,16233,1119,585,533,2019
12,Family and Consumer Sciences/Human Sciences,6469,953,484,469,2019
13,"Foreign Languages and Literatures, General",9936,1102,566,536,2019
14,Health Professions and related Clinical Sciences,331026,1048,529,518,2019
15,"History, General",12611,1090,563,527,2019
16,"Legal Studies, General",35788,1104,564,540,2019
17,"Liberal Arts and Sciences, General Studies and Humanities",8611,1140,584,556,2019
18,Library Science/Librarianship,283,1105,577,527,2019
19,Mathematics and Statistics,16508,1242,597,646,2019
20,Mechanic and Repair Technologies/Technicians,6592,916,458,458,2019
21,Military Technologies,7448,984,498,486,2019
22,Multi/Interdisciplinary Studies,2979,1155,581,574,2019
23,Natural resources and Conservation,10147,1104,562,543,2019
24,"Parks, Recreation and Leisure Studies",13039,960,482,478,2019
25,"Personal and Culinary Services, General",6668,929,474,456,2019
26,Philosophy and Religious Studies,3381,1120,572,548,2019
27,Physical Sciences,26318,1203,597,606,2019
28,Precision Production,319,932,466,466,2019
29,"Psychology, General",75626,1064,546,518,2019
30,Public Administration and Social Service Professions,7852,1001,513,488,2019
31,Security and Protective Services,68177,975,495,479,2019
32,Social Sciences,33356,1164,594,570,2019
33,Theology and Religious Vocations,1991,1096,561,535,2019
34,Transportation and Materials Moving,1105,1019,511,508,2019
35,"Visual and Performing Arts, General",130642,1045,536,510,2019
36,Other,26888,963,488,476,2019
37,Undecided,126939,1069,538,532,2019
